Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1923,-0.27,-0.22,-0.31,-0.16,-0.3,-0.34,0.18,-0.16,-0.26,-0.32,-0.27,-0.27,-0.41,-0.54
1924,-0.27,-0.18,-0.35,-0.13,-0.26,-0.43,0.52,-0.26,-0.24,-0.27,-0.25,-0.4,-0.45,-0.52
1925,-0.22,-0.14,-0.3,-0.05,-0.24,-0.37,-0.04,0.17,-0.19,-0.28,-0.2,-0.24,-0.55,-0.85
1926,-0.11,0.01,-0.21,0.02,0.02,-0.4,0.57,0.15,-0.23,0.01,0.03,-0.35,-0.45,-0.63
1927,-0.22,-0.14,-0.29,-0.13,-0.15,-0.38,0.04,-0.23,-0.13,-0.14,-0.17,-0.3,-0.45,-1.37
1928,-0.2,-0.11,-0.29,-0.08,-0.15,-0.39,0.67,-0.18,-0.24,-0.15,-0.15,-0.29,-0.48,-2.11
1929,-0.36,-0.33,-0.38,-0.39,-0.27,-0.45,0.12,-0.62,-0.39,-0.26,-0.28,-0.43,-0.44,-1.07
1930,-0.16,-0.01,-0.29,0.04,-0.1,-0.42,0.51,0.04,-0.11,-0.08,-0.12,-0.33,-0.47,-2.59
1931,-0.09,0.05,-0.21,0.01,0.09,-0.42,0.57,-0.05,-0.14,0.12,0.06,-0.42,-0.4,-0.4
1932,-0.16,-0.05,-0.25,0.03,-0.15,-0.35,0.46,0.19,-0.21,-0.17,-0.14,-0.21,-0.53,-0.98
1933,-0.28,-0.25,-0.32,-0.24,-0.27,-0.34,-0.14,-0.47,-0.12,-0.26,-0.28,-0.22,-0.48,-1.14
1934,-0.12,0.0,-0.25,0.17,-0.24,-0.26,0.9,0.31,-0.13,-0.24,-0.24,-0.15,-0.38,-0.56
1935,-0.2,-0.09,-0.3,-0.05,-0.17,-0.37,0.33,-0.05,-0.16,-0.15,-0.2,-0.31,-0.41,-1.7
1936,-0.15,-0.03,-0.26,-0.02,-0.12,-0.3,0.42,0.11,-0.26,-0.04,-0.21,-0.27,-0.33,-0.02
1937,-0.03,0.12,-0.17,0.19,-0.05,-0.22,1.24,0.03,-0.03,0.01,-0.11,-0.19,-0.25,0.37
1938,0.0,0.16,-0.18,0.39,-0.22,-0.09,1.53,0.39,0.02,-0.17,-0.27,-0.06,-0.11,-0.86
1939,-0.02,0.09,-0.12,0.22,-0.12,-0.12,0.56,0.28,0.08,-0.11,-0.12,-0.04,-0.19,-1.59
1940,0.13,0.17,0.09,0.11,0.28,-0.07,1.0,-0.02,-0.1,0.28,0.29,0.03,-0.2,-0.05
1941,0.19,0.23,0.17,0.01,0.49,-0.05,0.02,-0.09,0.08,0.55,0.44,0.03,-0.15,-0.46
1942,0.07,0.12,0.01,0.13,0.08,-0.01,0.73,-0.06,0.05,0.12,0.04,0.06,-0.05,-0.89
1943,0.09,0.18,-0.01,0.37,-0.09,0.04,1.43,0.28,0.1,-0.1,-0.07,0.07,0.0,1.15
1944,0.2,0.27,0.14,0.38,0.19,0.05,1.18,0.47,0.09,0.11,0.26,0.19,-0.09,-0.96
1945,0.09,0.11,0.09,0.11,0.17,-0.03,0.66,-0.02,0.03,0.1,0.24,0.04,0.0,-1.79
1946,-0.07,0.03,-0.17,0.06,-0.05,-0.24,-0.03,-0.05,0.16,-0.02,-0.07,-0.22,-0.24,-0.19
1947,-0.03,0.08,-0.13,0.16,-0.06,-0.16,1.08,-0.13,0.04,-0.03,-0.09,-0.19,-0.08,-0.23
1948,-0.11,-0.02,-0.2,0.13,-0.18,-0.24,0.13,0.32,0.0,-0.23,-0.14,-0.19,-0.19,-1.4
